Số nhị phân là gì?;;;Câu trả lời đúng là: Các số 1 và 0.
Có thể đóng một ứng dụng đang chạy trên Windows bằng cách sử dụng tổ hợp phím:;;;Câu trả lời đúng là: Ctrl + W
﻿Trong hệ điều hành Windows, để đến ngay thanh địa chỉ của Windows Explorer phải sử dụng tổ hợp phím:;;;Câu trả lời đúng là: Alt + D
Khi mất điện đột ngột, dữ liệu lưu trữ trong thiết bị nào dưới đây sẽ mất?;;;Câu trả lời đúng là: RAM
Tất cả dữ liệu quan trọng đều cần được tiêu hủy ngay khi không dùng nữa. Việc vứt những tài liệu quan trọng vào sọt rác là rất nguy hiểm. Đúng hay sai?;;;Câu trả lời đúng là: Đúng
Hãy chọn đáp án sai:Những tác hại của các phần mềm hoặc Website độc hại là gì?;;;Câu trả lời đúng là: Phá hỏng máy tính của bạn
Chọn đáp án phù hợpBảo vệ sự chính xác, hoàn chỉnh của thông tin và thông tin chỉ được thay đổi bởi những người được cấp quyền.;;;Câu trả lời đúng là: Tính sẵn sàng
Để thiết lập quyền chỉ đọc cho một tài khoản khi chia sẻ tài nguyên, lựa chọn tùy chọn nào dưới đây:;;;Câu trả lời đúng là: Read.
Cơ chế plug and play là cơ chế;;;Câu trả lời đúng là: Tự động phát hiện các thiết bị mới và tự động cảnh báo hoặc bổ sung chương trình điều khiển cho thiết bị mới.
Bàn phím là thiết bị;;;Câu trả lời đúng là: Vào
Các phần mềm MS Word, MS Excel, MS Access, MS PowerPoint, MS Internet Explorer thuộc nhóm phần mềm nào?;;;Câu trả lời đúng là: Nhóm phần mềm ứng dụng.
Màn hình là thiết bị;;;Câu trả lời đúng là: Ra.
Ổ đĩa CDROM là thiết bị:;;;Câu trả lời đúng là: Vào
﻿1 kilobyte bằng:;;;Câu trả lời đúng là: 1024 byte
Dưới góc độ địa lý, mạng máy tính được phân loại thành:;;;Câu trả lời đúng là: Mạng cục bộ, mạng diện rộng, mạng toàn cầu.
Ổ cứng là;;;Câu trả lời đúng là: Thiết bị lưu trữ ngoài.
Trong MS Windows, nhấn tổ hợp phím nào sẽ thực hiện Sao chép (Copy) thư mục vào bộ nhớ đếm?;;;Câu trả lời đúng là: Ctrl + C
Tại sao máy tính xách tay có thể gây rủi ro cho an ninh của công ty?;;;Câu trả lời đúng là: Bởi vì những người không được phép có thể đọc được những thông tin mật nếu máy tính bị lấy cắp.
Loại phím nào trên bàn phím mà chức năng của nó được xác định tùy thuộc vào các phần mềm cụ thể?;;;Câu trả lời đúng là: Phím chức năng.
Hệ điều hành MS DOS là hệ điều hành:;;;Câu trả lời đúng là: Đơn nhiệm.
Trong MS Windows, nhấn tổ hợp phím nào sẽ thực hiện Cắt (Cut) văn bản vào bộ nhớ đếm?;;;Câu trả lời đúng là: Ctrl + X
Phát biểu nào sau đây là ĐÚNG nhất:;;;Câu trả lời đúng là: Thư mục có thể chứa thư mục con và tệp tin.
Trong chiếc USB bị hỏng của Lan có chứa 1 số tài liệu về thông tin khách hàng của công ty. Lan nghĩ rằng USB bị hỏng thì những tài liệu trong đó cũng hỏng theo nên cô đã vứt chiếc USB đi. Đúng hay sai?;;;Câu trả lời đúng là: Sai
Tin học là;;;Câu trả lời đúng là: Khoa học xử lý thông tin tự động dựa trên máy tính điện tử.
Điều gì mà tất cả các Virus máy tính đều có thể thực hiện?;;;Câu trả lời đúng là: Tự nhân bản.
Trong MS Windows, muốn hiển thị ô Check box dùng chọn nhiều thư mục và tệp để thao tác, trên Windows Explorer thực hiện:;;;Câu trả lời đúng là: Vào View, chọn Item Check Boxes.
Hãy chọn một đáp án saiĐể đảm bảo an ninh và bảo mật thông tin tại nơi làm việc, bạn cần lưu ý:;;;Câu trả lời đúng là: Không cần kiểm tra mức độ an toàn của hệ thống thông tin.
Mục đích của công việc định dạng đĩa là gì?;;;Câu trả lời đúng là: Tạo một đĩa trắng đúng khuôn dạng để lưu trữ dữ liệu.
Mạng WAN:;;;Câu trả lời đúng là: Cho phép kết nối các mạng LAN nhỏ lại thành một mạng duy nhất.
Trong những công việc dưới đây, công việc nào con người làm tốt hơn máy tính;;;Câu trả lời đúng là: Nhận dạng các sự vật.
Chức năng nào có thể dùng để đóng một ứng dụng đang chạy trên Windows?;;;Câu trả lời đúng là: Close
Hệ điều hành Windows 10 được phát hành trên toàn thế giới vào năm?;;;Câu trả lời đúng là: 2014
Một máy tính có một ổ đĩa cứng chia làm hai phân vùng. Tên ổ đĩa logic mà hệ điều hành quản lý đối với 2 phân vùng này là:;;;Câu trả lời đúng là: C: và D:
Chương trình ứng dụng nào tạo ra tệp tin có phần mở rộng tự đặt là txt?;;;Câu trả lời đúng là: Notepad
Phát biểu nào sau đây là ĐÚNG;;;Câu trả lời đúng là: GUI là viết tắt của Graphic User Interface.
Trên thư mục gốc của đĩa D có chứa thư mục DETHI, các tệp *.BAT và tệp COMMAND.COM. Trong Thư mục DETHI, có chứa các thư mục KY1, KY2. Trong KY1 có chứa các thư mục TOAN, LY. Trong thư mục TOAN có chứa các tệp là DETHI1.TXT, DETHI2.TXT. Trong thư mục LY c;;;Câu trả lời đúng là: \DETHI\KY1\TOAN\DETHI1.TXT
Chức năng nào dùng để xoá bỏ thư mục trong Windows?;;;Câu trả lời đúng là: Delete
CPU có nghĩa là;;;Câu trả lời đúng là: Central Processing Unit.
Trong hệ điều hành Windows, driver được hiểu là?;;;Câu trả lời đúng là: Chương trình giúp Windows điều khiển các thiết bị ngoại vi.
Trong hệ điều hành Windows, để chụp ảnh toàn bộ màn hình máy tính hiện tại phải sử dụng phím:;;;Câu trả lời đúng là: PrintScreen.
Trong cửa sổ ListView của Windows Explorer, kiểu hiển thị nào cho phép người sử dụng có thể biết được kích thước của một file hiển thị trên cửa sổ đó?;;;Câu trả lời đúng là: Details
Trong hệ điều hành Windows, thao tác Drag and Drop (kéo thả chuột) được sử dụng khi muốn:;;;Câu trả lời đúng là: Di chuyển đối tượng đến vị trí mới.
Cái tên nào sau đây không phải là một hệ điều hành?;;;Câu trả lời đúng là: UPS
Trong danh sách dưới đây, đâu là thiết bị mạng?;;;Câu trả lời đúng là: Hub
Trước khi xử lý các thiết bị điện tử, bạn cần đảm bảo rằng các thông tin quan trọng đã được xóa bỏ và không thể phục hồi được. Ví dụ: trong trường hợp USB hỏng mà bạn vứt đi, những người am hiểu về máy tính có thể khôi phục lại những tập tin bị hỏng. Đúng hay sai?;;;Câu trả lời đúng là: Đúng
Trong hệ điều hành Windows với tiện ích Windows Explorer thì việc nhấn tổ hợp phím Alt + Mũi tên qua trái sẽ tương ứng với thao tác nhấn chuột vào nút gì trên thanh công cụ?;;;Câu trả lời đúng là: Back
Cổng nào sau đây là cổng kết nối giữa màn hình và máy tính?;;;Câu trả lời đúng là: VGA
Đơn vị đo độ sáng của thiết bị máy chiếu là:;;;Câu trả lời đúng là: Lumens
Chức năng nào dùng để đổi tên thư mục trong Windows?;;;Câu trả lời đúng là: Rename.
Linh hay vứt các tài liệu in hỏng hoặc bị lỗi vào sọt rác. Cô nghĩ việc đó là bình thường vì sọt rác công ty thường được làm sạch hàng ngày. Đúng hay sai?;;;Câu trả lời đúng là: Sai
Điền phần còn thiếu vào dấu … dưới đâyViệc quản lý thông tin gồm các chính sách bảo mật thông tin, vấn đề phân công trách nhiệm bảo mật thông tin, nhận thức và huấn luyện về bảo mật thông tin chiếm tới … trong công tác bảo mật thông tin, chỉ có 20% còn lại là liên quan tới các vấn đề kỹ thuật bao gồm hệ thống công cụ, cấu trúc, …;;;Câu trả lời đúng là: 80%
Virus thường được lây lan qua các phương tiện lưu trữ dữ liệu như USB, CD, máy nghe nhạc, … Bạn bè, đồng nghiệp của bạn cũng không nghĩ rằng họ đang chuyển những dữ liệu có chưa mã đọc cho bạn. Đúng hay sai?;;;Câu trả lời đúng là: Đúng
Ba thiết bị đầu vào phổ biến gồm những gì?;;;Câu trả lời đúng là: Bàn phím, chuột, Microphone.
Trong MS Windows, để chọn các biểu tượng nằm cách nhau trên màn hình nền Desktop, dùng chuột nhắp chọn từng biểu tượng đồng thời nhấn giữ phím nào?;;;Câu trả lời đúng là: Ctrl
Chọn phát biểu SAI về CPU trong các phát biểu sau:;;;Câu trả lời đúng là: Là hộp máy của máy vi tính, trong đó có bộ số học - lôgic và bộ nhớ.
Tốc độ truyền dữ liệu tối đa trên lý thuyết của USB 2.0 là;;;Câu trả lời đúng là: 480 Mbps.
Nếu một người dùng mở phần mềm Notepad và gõ một vài ký tự, sau đó nhấn chuột vào biểu tượng (x) ở góc phải phía trên của cửa sổ. Điều gì sẽ xảy ra?;;;Câu trả lời đúng là: Một hộp thoại sẽ bật ra.
Chuột là thiết bị;;;Câu trả lời đúng là: Vào
Trong lĩnh vực máy tính, chữ viết tắt “MB” thường được dùng để đo lường giá trị gì?;;;Câu trả lời đúng là: Khả năng lưu trữ.
Trong MS Windows, Giả sử trong cùng một thư mục gốc (ổ đĩa C:), có hai thư mục X và Y. Khi thực hiện đổi tên thư mục X thành Y thì:;;;Câu trả lời đúng là: Máy tính thông báo thư mục Y đã tồn tại và hỏi có muốn gộp hai thư mục lại không.
Một sinh viên đưa ra những điểm tương đồng giữa một máy vi tính (micro computer) với một máy tính bỏ túi (calculator). Phát biểu nào sau đây là SAI?;;;Câu trả lời đúng là: Đều có CPU.
Muốn thay đổi các thông số của hệ thống máy tính sao cho dữ liệu ngày được hiển thị dưới dạng “Tuesday, July 30, 2015” phải khai báo tại thẻ lệnh Date của hộp thoại Customize Regional Options như sau:;;;Câu trả lời đúng là: dddd, MMMM dd, yyyy
﻿Minh chưa từng gặp các vấn đề rắc rối với việc mất mát hay rò rỉ thông tin. Anh cho rằng việc trang bị kiến thức bảo mật thôn tin là không thực sự cần thiết. Đúng hay sai?;;;Câu trả lời đúng là: Sai
Thông số "Core i3, socket 775" là của thiết bị nào?;;;Câu trả lời đúng là: CPU.
Thiết bị nào sau đây là phương tiện lưu trữ quang học?;;;Câu trả lời đúng là: DVD-R
Công cụ Windows Explorer dùng để?;;;Câu trả lời đúng là: Quản lý thư mục và tệp tin.
Lợi ích của GUI (Graphic User Interface) là gì?;;;Câu trả lời đúng là: GUI cho phép người sử dụng máy tính bằng con chuột.
RAM thuộc khối thiết bị:;;;Câu trả lời đúng là: Memory (bộ nhớ).
Phát biểu nào dưới đây là SAI:;;;Câu trả lời đúng là: Có thể xóa một thư mục trên đĩa CD-R bằng cách chọn thư mục đó và nhấn nút Delete.
Phím chức năng nào dùng để gọi trợ giúp trong Windows?;;;Câu trả lời đúng là: F1
Một khách hàng muốn thực hiện một cuộc khảo sát quan e-mail, vì thế anh ta yêu cầu Lan lập một danh sách nhỏ bao gồm họ tên, địa chỉ và e-mail phục vụ cho cuộc khảo sát. Dù những thông tin này dễ dàng tra cứu qua danh bạ, danh thiếp, … nhưng Lan lo rằng những thông tin này cần được bảo mật riêng tư nên đã không đồng ý lập danh sách đó. Lan làm như thế có đúng không?;;;Câu trả lời đúng là: Đúng
Thiết bị sử dụng pin để cung cấp điện liên tục cho hệ thống ngay cả khi điện lưới bị cắt được gọi là?;;;Câu trả lời đúng là: UPS
Trong hệ điều hành Windows, để kiểm tra các thiết bị đã cài driver hay chưa vào:;;;Câu trả lời đúng là: Device Manager.
Tốc độ đồng hồ của máy tính đuợc tính theo;;;Câu trả lời đúng là: hertz và các bội của nó.
Loại máy tính nào thường đắt nhất;;;Câu trả lời đúng là: Máy chủ
Virus tin học là gì?;;;Câu trả lời đúng là: Cả 3 phương án
Để truyền tệp tin sử dụng dịch vụ nào?;;;Câu trả lời đúng là: FTP
Hai người đã tạo được tài khoản thư miễn phí tại địa chỉ GMAIL.COM. Phát biểu nào dưới đây là SAI?;;;Câu trả lời đúng là: Mật khẩu mở hộp thư của hai người này phải khác nhau.
Khi duyệt Web, sử dụng "Ctrl + thanh cuộn nút Chuột giữa cuộn lên" dùng để làm gì?;;;Câu trả lời đúng là: Phóng to nội dung
Khi duyệt Web, để Mở một tab mới, dùng tổ hợp phím nào:;;;Câu trả lời đúng là: Ctrl + T
Khi duyệt Web, để Chuyển nhanh qua các tab theo thứ tự từ 1 đến 8 (từ trái sang phải), dùng tổ hợp phím nào:;;;Câu trả lời đúng là: Ctrl + 1-8
Trong các phát biểu dưới đây, phát biểu nào là SAI?;;;Câu trả lời đúng là: WWW chính là Internet vì WWW là trang thông tin toàn cầu (World Wide Web).
Khi duyệt Web, để Mở một cửa sổ trình duyệt mới, dùng tổ hợp phím nào:;;;Câu trả lời đúng là: Ctrl + N
Khi duyệt Web, để Mở lại tab vừa đóng, dùng tổ hợp phím nào:;;;Câu trả lời đúng là: Ctrl + Shift + T
Khi duyệt Web, để Đánh dấu (Bookmark) trang web hiện tại, dùng tổ hợp phím nào:.;;;Câu trả lời đúng là: Ctrl + D
﻿Các trang Web phải có một địa chỉ duy nhất trên Internet. Đúng hay sai?;;;Câu trả lời đúng là: Đúng
Khi duyệt Web, để Đóng cửa sổ trình duyệt hiện tại, dùng tổ hợp phím nào:;;;Câu trả lời đúng là: Alt + F4
Hãy điền vào chỗ chấm đáp án bạn cho là đúng.Internet là một hệ thống gồm các … được liên kết với nhau trên phạm vi toàn thế giới. Bất kỳ 2 mạng máy tính kết nối với nhau theo kiểu Internet có thể tiếp xác và trao đổi dữ liệu với nhau thông qua các hệ thống kênh truyền thông.;;;Câu trả lời đúng là: Mạng máy tính
Khi duyệt Web, để tải lại trang web đang xem thực hiện nhấn phím nào?;;;Câu trả lời đúng là: F5
Khi duyệt Web, để trở về Đầu trang web hiện tại thực hiện nhấn phím nào?;;;Câu trả lời đúng là: Home
HTTP là gì?;;;Câu trả lời đúng là: Là giao thức truyền tải siêu văn bản.
Khi duyệt Web, để Đóng tab hiện tại, dùng tổ hợp phím nào:;;;Câu trả lời đúng là: Ctrl + F4
Các bức thư điện tử cần được gửi đi không chỉ đến đúng người mà còn cần được gửi đến đúng lúc. Đúng hay sai?;;;Câu trả lời đúng là: Đúng
Khi duyệt Web, để trở về Cuối trang web hiện tại thực hiện nhấn phím nào?;;;Câu trả lời đúng là: End
Để chuyển đổi 1 dặm ra km thì cần nhập vào hộp tìm kiếm thế nào?;;;Câu trả lời đúng là: 1 dặm -> km
Khi duyệt Web, để Mở cửa sổ xóa dữ liệu (Clear Browsing History) duyệt web, dùng tổ hợp phím nào:.;;;Câu trả lời đúng là: Ctrl + Shift + Delete
Bạn không sử dụng bí quyết nào sau đây khi viết một bức thư bán hàng hiệu quả:;;;Câu trả lời đúng là: Không nên đưa vào một đoạn tái bút T.B
Khi duyệt Web, để tìm thông tin "Công chức" trên trang web “www.lamdong.gov.vn” vào google gõ từ khóa tìm kiếm nào để google trả về kết quả không có kết quả từ các trang web khác:;;;Câu trả lời đúng là: Công chức SITE:lamdong.gov.vn
Người gửi luôn cần đề cao sự trung thực và tính tin cậy đối với những điều đã biết trong email. Đúng hay sai?;;;Câu trả lời đúng là: Đúng
Để xem lại lịch sử duyệt web, dùng tổ hợp phím:;;;Câu trả lời đúng là: Ctrl + H
Thuật ngữ LAN là viết tắt của cụm từ:;;;Câu trả lời đúng là: Local area network.
Khi duyệt Web, sử dụng "Ctrl + 0" dùng để làm gì?;;;Câu trả lời đúng là: Trở về chế độ zoom mặc định ban đầu
Trong khi duyệt Web, tổ hợp phím nào dùng để ra lệnh In trang hiện tại?;;;Câu trả lời đúng là: Ctrl + P
Mỗi thiết bị khi tham gia vào một mạng máy tính nào đó cũng đều có:;;;Câu trả lời đúng là: Địa chỉ IP.
Internet là:;;;Câu trả lời đúng là: Hệ thống mạng máy tính toàn cầu.
Khi duyệt Web, để Đóng tab hiện tại, dùng tổ hợp phím nào:;;;Câu trả lời đúng là: Ctrl + W
Sử dụng dấu “~” trong tìm kiếm khi:;;;Câu trả lời đúng là: Muốn tìm được những kết quả có chứa từ đồng nghĩa với từ khóa
Trong mạng Internet, dịch vụ nào hỗ trợ truyền tệp tin, dữ liệu có dung lượng lớn từ nơi này đến nơi khác?;;;Câu trả lời đúng là: FTP.
Khi duyệt Web, để tải lại toàn bộ trang web đang xem, bỏ qua bộ nhớ cache, dùng tổ hợp phím nào?;;;Câu trả lời đúng là: Ctrl + F5
Những người có địa chỉ email trong Cc sẽ biết được thư đó gửi cho những ai. Đúng hay sai?;;;Câu trả lời đúng là: Đúng
Phát biểu nào dưới đây là SAI?;;;Câu trả lời đúng là: Internet là dịch vụ do công ty Internet tại Mỹ điều hành và thu phí.
Khi duyệt Web, để Dừng việc tải trang web hiện tại thực hiện nhấn phím nào?;;;Câu trả lời đúng là: Esc
Khi duyệt Web, để Mở trang chủ (Home), dùng tổ hợp phím nào:;;;Câu trả lời đúng là: Alt + Home
Tiền thân của mạng Internet ngày nay là?;;;Câu trả lời đúng là: ARPANET.
Khi duyệt Web, để "Thoát khỏi/ Phóng to" Chế độ xem toàn màn hình trang web thực hiện nhấn phím nào?;;;Câu trả lời đúng là: F11
